name,dex,gen,region,type1,type2,color_primary,color_secondary,abilities,genus,shape,habitat,evo,family,stage,gender,legendary,mythical,baby,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,egg_groups,stat_standouts,arch,sprite,moves,lore,mythology,location,trainer,role,other,well_known
Bulbasaur,1,1,Kanto,grass,poison,green,,"Overgrow, Chlorophyll",Seed Pokémon,quadruped,grassland,none,Bulbasaur,0,both,False,False,False,45,49,49,65,65,45,6.9,0.7,"monster, plant",,toad,"bulb, seed, fangs",,,,,,starter,,1
Ivysaur,2,1,Kanto,grass,poison,green,,"Overgrow, Chlorophyll",Seed Pokémon,quadruped,grassland,level,Bulbasaur,1,both,False,False,False,60,62,63,80,80,60,13.0,1.0,"monster, plant",,toad,"bud, fangs",,,,,,,,0
Venusaur,3,1,Kanto,grass,poison,green,,"Overgrow, Chlorophyll",Seed Pokémon,quadruped,grassland,level,Bulbasaur,2,both,False,False,False,80,82,83,100,100,80,100.0,2.0,"monster, plant",,toad,"bloom, flower, fangs",,,,,,"starter, mega",,1
Charmander,4,1,Kanto,fire,,red,,"Blaze, Solar Power",Lizard Pokémon,upright,mountain,none,Charmander,0,both,False,False,False,39,52,43,60,50,65,8.5,0.6,"monster, dragon",,lizard,"flame-tail, claws",,,,,,starter,,1
Charmeleon,5,1,Kanto,fire,,red,,"Blaze, Solar Power",Flame Pokémon,upright,mountain,level,Charmander,1,both,False,False,False,58,64,58,80,65,80,19.0,1.1,"monster, dragon",,lizard,"flame-tail, horn, claws",,,,,,,,0
Charizard,6,1,Kanto,fire,flying,red,,"Blaze, Solar Power",Flame Pokémon,upright,mountain,level,Charmander,2,both,False,False,False,78,84,78,109,85,100,90.5,1.7,"monster, dragon",fast,"dragon, lizard","wings, flame-tail, fangs",,,,,,"starter, mega, gmax",,1
Squirtle,7,1,Kanto,water,,blue,,"Torrent, Rain Dish",Tiny Turtle Pokémon,upright,waters-edge,none,Squirtle,0,both,False,False,False,44,48,65,50,64,43,9.0,0.5,"monster, water1",,turtle,"shell, tail",,,,,,starter,,1
Wartortle,8,1,Kanto,water,,blue,,"Torrent, Rain Dish",Turtle Pokémon,upright,waters-edge,level,Squirtle,1,both,False,False,False,59,63,80,65,80,58,22.5,1.0,"monster, water1",,turtle,"shell, ears, tail",,,,,,,,0
Blastoise,9,1,Kanto,water,,blue,,"Torrent, Rain Dish",Shellfish Pokémon,upright,waters-edge,level,Squirtle,2,both,False,False,False,79,83,100,85,105,78,85.5,1.6,"monster, water1",,turtle,"shell, cannons",,,,,,"starter, mega, gmax",,1
Caterpie,10,1,Kanto,bug,,green,,"Shield Dust, Run Away",Worm Pokémon,armor,forest,none,Caterpie,0,both,False,False,False,45,30,35,20,20,45,2.9,0.3,bug,light,"insect, caterpillar",antenna,,,,,,,,1
Metapod,11,1,Kanto,bug,,green,,Shed Skin,Cocoon Pokémon,squiggle,forest,level,Caterpie,1,both,False,False,False,50,20,55,25,25,30,9.9,0.7,bug,,"insect, pupa","cocoon, shell",,,,,,,,0
Butterfree,12,1,Kanto,bug,flying,white,,"Compound Eyes, Tinted Lens",Butterfly Pokémon,bug-wings,forest,level,Caterpie,2,both,False,False,False,60,45,50,90,80,70,32.0,1.1,bug,,"insect, butterfly","wings, compound-eyes",,,,,,gmax,,1
Weedle,13,1,Kanto,bug,poison,brown,,"Shield Dust, Run Away",Hairy Bug Pokémon,armor,forest,none,Weedle,0,both,False,False,False,40,35,30,20,20,50,3.2,0.3,bug,,"insect, caterpillar","stinger, nose",,,,,,,,0
